股票代码,股票简称,原始行业,映射行业,输出路径
000617,中油资本,多元金融,多元金融,/home/peanut/stock_key_info/all_stocks_20260606/金融/多元金融/中油资本.csv
000619,海螺新材,装修建材,装修建材,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/装修建材/海螺新材.csv
000620,盈新发展,房地产开发,房地产开发,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产开发/盈新发展.csv
000623,吉林敖东,中药Ⅱ,中药,/home/peanut/stock_key_info/all_stocks_20260606/医药/中药/吉林敖东.csv
000626,远大控股,物流,物流行业,/home/peanut/stock_key_info/all_stocks_20260606/航运物流/物流行业/远大控股.csv
000625,长安汽车,乘用车,汽车整车,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车整车/长安汽车.csv
000628,高新发展,房屋建设Ⅱ,工程建设,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/工程建设/高新发展.csv
000629,钒钛股份,冶钢原料,钢铁行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/钢铁行业/钒钛股份.csv
000630,铜陵有色,工业金属,有色金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/有色金属/铜陵有色.csv
000631,顺发恒能,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/顺发恒能.csv
000633,合金投资,金属新材料,小金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/小金属/合金投资.csv
000635,英力特,化学原料,化学原料,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学原料/英力特.csv
000636,风华高科,元件,电子元件,/home/peanut/stock_key_info/all_stocks_20260606/TMT/电子元件/风华高科.csv
000637,茂化实华,炼化及贸易,石油行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/石油行业/茂化实华.csv
000650,仁和药业,中药Ⅱ,中药,/home/peanut/stock_key_info/all_stocks_20260606/医药/中药/仁和药业.csv
000651,格力电器,白色家电,家电行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/家电行业/格力电器.csv
000655,金岭矿业,冶钢原料,钢铁行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/钢铁行业/金岭矿业.csv
000652,泰达股份,综合Ⅱ,综合行业,/home/peanut/stock_key_info/all_stocks_20260606/综合行业/泰达股份.csv
000657,中钨高新,小金属,小金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/小金属/中钨高新.csv
000659,珠海中富,包装印刷,造纸印刷,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/造纸印刷/珠海中富.csv
000661,长春高新,生物制品,生物制品,/home/peanut/stock_key_info/all_stocks_20260606/医药/生物制品/长春高新.csv
000663,永安林业,林业Ⅱ,农牧饲渔,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/农牧饲渔/永安林业.csv
000665,湖北广电,电视广播Ⅱ,文化传媒,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/文化传媒/湖北广电.csv
000668,荣丰控股,房地产开发,房地产开发,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产开发/荣丰控股.csv
000670,盈方微,其他电子Ⅱ,消费电子,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/消费电子/盈方微.csv
000672,上峰材料,水泥,水泥建材,/home/peanut/stock_key_info/all_stocks_20260606/能源/水泥建材/上峰材料.csv
000676,智度股份,广告营销,文化传媒,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/文化传媒/智度股份.csv
000678,襄阳轴承,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/襄阳轴承.csv
000679,大连友谊,一般零售,商业百货,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/商业百货/大连友谊.csv
000680,山推股份,工程机械,工程机械,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/工程机械/山推股份.csv
000681,视觉中国,数字媒体,文化传媒,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/文化传媒/视觉中国.csv
000682,东方电子,电网设备,电网设备,/home/peanut/stock_key_info/all_stocks_20260606/能源/电网设备/东方电子.csv
000683,博源化工,化学原料,化学原料,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学原料/博源化工.csv
000685,中山公用,环境治理,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/中山公用.csv
000686,东北证券,证券Ⅱ,证券,/home/peanut/stock_key_info/all_stocks_20260606/金融/证券/东北证券.csv
000688,国城矿业,工业金属,有色金属,/home/peanut/stock_key_info/all_stocks_20260606/能源/有色金属/国城矿业.csv
000690,宝新能源,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/宝新能源.csv
000691,亚太实业,化学原料,化学原料,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学原料/亚太实业.csv
000692,惠天热电,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/惠天热电.csv
000695,滨海能源,电池,电池,/home/peanut/stock_key_info/all_stocks_20260606/能源/电池/滨海能源.csv
000697,炼石航空,航空装备Ⅱ,航天航空,/home/peanut/stock_key_info/all_stocks_20260606/航天航空/炼石航空.csv
000700,模塑科技,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/模塑科技.csv
000701,厦门信达,贸易Ⅱ,贸易行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/贸易行业/厦门信达.csv
000702,正虹科技,饲料,农牧饲渔,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/农牧饲渔/正虹科技.csv
000703,恒逸石化,炼化及贸易,石油行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/石油行业/恒逸石化.csv
